Epoch,loss,accuracy,val_loss,val_accuracy
0,1.5424748659133911,0.48186811804771423,1.165134072303772,0.5636895895004272
1,1.0395612716674805,0.6225274801254272,0.9278051257133484,0.6368960738182068
2,0.8400697112083435,0.6972527503967285,0.8020759224891663,0.7159590125083923
3,0.7072123885154724,0.7368131875991821,0.6908085346221924,0.7569546103477478
4,0.6195835471153259,0.7772893905639648,0.6698854565620422,0.7686676383018494
5,0.561356246471405,0.8001831769943237,0.7055181264877319,0.7672035098075867
6,0.504966676235199,0.8219780325889587,0.7079327702522278,0.7686676383018494
7,0.4491637945175171,0.8415750861167908,0.696651816368103,0.7540263533592224
8,0.4284006953239441,0.8468864560127258,0.6005406379699707,0.8169838786125183
9,0.41311076283454895,0.8545787334442139,0.6889987587928772,0.7833089232444763
10,0.36492958664894104,0.8721611499786377,0.6383888125419617,0.8052708506584167
11,0.33517518639564514,0.879304051399231,0.5889379382133484,0.8125914931297302
12,0.32106223702430725,0.8868131637573242,0.6911060214042664,0.7964860796928406
13,0.30778756737709045,0.8924908638000488,0.656787633895874,0.8008784651756287
14,0.3097742199897766,0.8888278603553772,0.6218314170837402,0.8243045210838318
15,0.27528488636016846,0.9025641083717346,0.587428867816925,0.8389458060264587
16,0.2685891091823578,0.9073259830474854,0.572979211807251,0.8360175490379333
17,0.2571297883987427,0.9100732803344727,0.5670655965805054,0.8301610350608826
18,0.23710469901561737,0.9144688844680786,0.6701070070266724,0.8067349791526794
19,0.23587478697299957,0.9175823926925659,0.6196657419204712,0.8169838786125183
20,0.23564623296260834,0.9179487228393555,0.6771085858345032,0.8243045210838318
21,0.2169337272644043,0.9243589639663696,0.5893191695213318,0.8301610350608826
22,0.21680206060409546,0.9238095283508301,0.6796286702156067,0.8228403925895691
23,0.21525342762470245,0.9241757988929749,0.6143351197242737,0.8316251635551453
24,0.18654413521289825,0.9316849708557129,0.7466617822647095,0.8067349791526794
25,0.1909017562866211,0.9333333373069763,0.6273813247680664,0.8286969065666199
26,0.16558988392353058,0.9413919448852539,0.6229221224784851,0.8286969065666199
27,0.18212619423866272,0.936996340751648,0.7208199501037598,0.8155197501182556
28,0.19394730031490326,0.9307692050933838,0.6978068351745605,0.8228403925895691
29,0.1705348640680313,0.9384615421295166,0.7748079895973206,0.8008784651756287
